Event Id,Event Type,Event Title,Start Time,End Time,Precision,Count,First Published Time,Last Published Time,Sample Fragment,Entities,Locations,Source Count,Positive Sentiment,Negative Sentiment
ERhN2QRFKRI,Company Meeting,"Company Meeting",2014-06-25T00:00:00.000Z,2014-06-25T23:59:59.000Z,day,2,2014-04-18T19:03:30.000Z,2014-04-18T19:03:30.000Z,"Wal-Mart Stores Inc. CEO H. Lee Scott Jr. Shareholders will vote on the nominations come June 25 at Yahoo&#39;s annual meeting, Financial Times reported .","Yahoo","",1,0,0
DD2B7Ymcv8h,Acquisition,"Yahoo will be involved in an acquisition",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,1,2014-05-15T16:42:40.000Z,2014-05-15T16:42:40.000Z,"According to CEO Marissa Mayer, who took the prime post in July &#39;12, Yahoo has been purchasing businesses in targeted markets.","Yahoo","",2,0,0
EReZpPiPIxN,Company Earnings Guidance,"Earnings Guidance",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,2,2014-04-24T17:33:54.000Z,2014-04-24T17:33:54.000Z,"Microsoft is expected to report fiscal third-quarter earnings of 63 cents per share on revenue of $20.39 billion.","Microsoft","",10,0,0
CLXMQn12t60,Acquisition,"Microsoft will acquire Yammer",2014-07-01T00:00:00.000Z,2014-07-01T23:59:59.000Z,day,44,2012-06-15T16:13:01.000Z,2012-06-15T16:13:01.000Z,"on software to go from July 1 5 hr. 50 min. ago Polaris Financial Tech wins award 5 hr. 58 min. ago Microsoft to buy Yammer for $1.2 bn, says report 6 hr. 12 min. ago Gartner positions Wipro BPO","Microsoft; Yammer","",1,3.9788,0
Dnj7A9H5mkg,Product Release,"Microsoft will release Xbox One",2014-06-09T00:00:00.000Z,2014-06-09T23:59:59.000Z,day,42,2014-05-25T00:40:03.000Z,2014-05-25T00:40:03.000Z,"Xbox One Without Kinect, Shipping June 9 Microsoft Announces Xbox One Without Kinect, Shipping June 9 Microsoft Announces Xbox One Without Kinect, Sh...","Microsoft; Xbox One","",10,0,0
Y_eXUFHGIk,Announcement,"Announcement",2014-06-09T00:00:00.000Z,2014-06-09T23:59:59.000Z,day,40,2014-06-02T13:48:11.000Z,2014-06-02T13:48:11.000Z,"Microsoft&#39;s press conference slated for 9 a.m. June 9 ....It&#39;s believed Microsoft will announce a compilation of high-definition Halo games re-released for Xbox One at the show ; it will also likely show off &#34;Halo","Microsoft","",10,13.7588,4.5853
H7SPEJ_TVX5,Announcement,"Announcement",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,3,2014-05-16T07:40:36.000Z,2014-05-16T07:40:36.000Z,"Microsoft ha anunciado la firma de un acuerdo con Insteon , una firma fabricante de herramientas de domótica , mediante el cual, la empresa de Redmond ... Insteon en sus tiendas desde el próximo mes de julio.","Microsoft","",10,1.6261,0
GNnAyB0sNER,Company Expansion,"Expansion",2014-07-01T00:00:00.000Z,2014-12-31T23:59:59.000Z,month,1,2014-03-19T20:39:09.000Z,2014-03-19T20:39:09.000Z,"Microsoft to launch next Office for Mac in second half of 2014.","Microsoft","",9,0,0
HgHAVJ2bLOE,Announcement,"Announcement",2014-06-29T00:00:00.000Z,2014-07-28T23:59:59.000Z,day,1,2014-05-18T18:07:00.000Z,2014-05-18T18:07:00.000Z,"وفى استجابة سريعة لقرار مجلس الوزراء الأخير، أعلنت Microsoft عن إطلاق تحديث لضبط التوقيت الصيفى على الأجهزة اعتبارا من الثانية الأولى ليوم 15 مايو الحالى، ... للتوقيت الطبيعى خلال شهر رمضان اعتبارا من الثانية الأولى","Microsoft","",10,0,0
EiEIH211lPE,BusinessTransactionText,"Business Transaction",2014-06-09T00:00:00.000Z,2014-06-09T23:59:59.000Z,day,29,2014-06-02T13:48:11.000Z,2014-06-02T13:48:11.000Z,"The announcement also notably follows Microsoft&#39;s decision to sell the Xbox One without Kinect for $399 beginning June 9 as well as its announcement that","Microsoft","",10,0.9058,0
Cvx_q_9bWqB,Announcement,"Announcement",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-05-31T13:37:34.000Z,2014-05-31T13:37:34.000Z,"begin accepting Bitcoin payments in the third quarter....Microsoft and salesforce.com announced a global strategic partnership to connect salesforce.com&#39;s CRM and Microsoft&#39;s Office and Windows products.","Microsoft","",10,0.2687,0.4091
Epi5A2kWxWN,Company Earnings Guidance,"Earnings Guidance",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-04-24T19:25:24.000Z,2014-04-24T19:25:24.000Z,"Overall, Microsoft is expected to earn $20.4 billion in fiscal third-quarter revenue, generating a $5.2 billion net profit or earning per share (EPS) of","Microsoft","",10,0,0
DgE4p0IAdVZ,Company Founded,"Founded",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,2,2014-05-19T13:09:03.000Z,2014-05-19T13:09:03.000Z,"Beginning in July, Microsoft will begin to deploy new encryption technology for Microsoft Office 365 business customers, ensuring that every file stored","Microsoft","",10,5.3047,0
EPp_WKzO-wl,BusinessTransactionText,"Business Transaction",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,1,2014-04-03T14:59:07.000Z,2014-04-03T14:59:07.000Z,"planning to upgrade its ATM software to Windows 7 in July....In the meantime they and several other banks will be paying Microsoft to extend their security support.","Microsoft","",10,0,0.5806
BpPL-zis9gI,Acquisition,"Microsoft will acquire Intel Corp",2014-06-20T00:00:00.000Z,2014-06-20T23:59:59.000Z,day,18,2014-05-25T08:52:25.000Z,2014-05-25T08:52:25.000Z,"Beginning June 20 in Canada and the United States , ... Microsoftstore.com, Microsoft retail stores, select third-party retailers and commercial resellers to purchase Intel Core i5 Surface Pro 3 and select accessories.","Microsoft; Intel Corp","",10,0,0
FyMB1wR0o6l,Announcement,"Announcement",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,37,2014-06-01T09:11:41.000Z,2014-06-01T09:11:41.000Z,"Besides, Google will announce a few hardware partners for devices running Android TV, which is expected to be released in the coming month.","Google","",10,0.6345,0
DJAhU6EeIJI,Organization Relationship,"Google and Office national des droits d'auteur",2014-06-12T00:00:00.000Z,2014-06-12T23:59:59.000Z,day,86,2014-05-25T13:43:15.000Z,2014-05-25T13:43:15.000Z,"première en Algérie, le 12 juin prochain, une délégation de la société Google se rendra à Alger pour signer, avec l&#39;Office national des droits d&#39;auteur (ONDA), un protocole d&#39;accord pour la protection des","Google; Office national des droits d'auteur","",10,0,0
DCJi964S-xk,Announcement,"Announcement",2014-07-01T00:00:00.000Z,2014-07-01T23:59:59.000Z,day,48,2014-01-25T18:53:21.000Z,2014-01-25T18:53:21.000Z,"After Google announced that it would end up being shutting down Google Reader on July 1, unhappy customers turned to the Internet to be able to protest","Google","",10,0.3047,14.2049
GzDBoPfwQac,Announcement,"Announcement",2014-06-20T00:00:00.000Z,2014-06-30T23:59:59.000Z,day,3,2014-06-02T00:18:00.000Z,2014-06-02T00:18:00.000Z,"taking place towards the end of June , perhaps more details...No word on when Google will be announcing this new feature, but it does sound pretty exciting.","Google","",10,2.0583,0.8304
BtLoc-aJCTc,Announcement,"Announcement",2014-06-25T00:00:00.000Z,2014-06-25T23:59:59.000Z,day,31,2014-05-28T11:01:50.000Z,2014-05-28T11:01:50.000Z,"The event takes place on June 25th and 26th and Google is expected to announce this new Nexus 8 device then.","Google","",10,0,0
H2EdaNO4USc,Announcement,"Announcement",2014-06-25T00:00:00.000Z,2014-06-26T23:59:59.000Z,day,7,2014-05-30T20:01:51.000Z,2014-05-30T20:01:51.000Z,"2014 will take place from June 25 to June 26, so there&#39;s a possibility that Google will make an announcement about Android 4.4.3 there, but it&#39;s unclear.","Google","",10,0,0.2143
EIgsFOomB_l,BusinessTransactionText,"Business Transaction",2014-07-01T00:00:00.000Z,2014-07-31T23:59:59.000Z,month,1,2013-12-30T09:36:24.000Z,2013-12-30T09:36:24.000Z,"events in Boulder and Fort Collins in July of 2014....drones for delivery somewhere down the line - and Google&#39;s bewildering self-driving cars and sudden purchase of robotics companies.Both companies are among","Google","",5,0,1.2388
DphSBshdPck,Protest,"Protest",2014-07-01T00:00:00.000Z,2014-07-01T23:59:59.000Z,day,9,2013-12-17T06:19:33.000Z,2013-12-17T06:19:33.000Z,"Google announced that it would become shutting down Google Reader on July 1, unhappy customers turned to the Internet in order to protest the closing.","Google","",8,0,1.9682
FrUj50kMKCI,Organization Relationship,"Google and Office Nationale des droits d'Auteurs",2014-06-12T00:00:00.000Z,2014-06-12T23:59:59.000Z,day,9,2014-05-24T21:31:00.000Z,2014-05-24T21:31:00.000Z,"en Algérie, l e 12 juin prochain, une délégation de la société Google se rendra à Alger pour signer, avec l&#39;Office Nationale des droits d&#39;Auteurs (ONDA), un protocole d&#39;accord pour la protection","Google; Office Nationale des droits d'Auteurs","",2,0,0
Hap5oKXYsW9,Business Relation,"Business Relation",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-02-10T01:42:02.000Z,2014-02-10T01:42:02.000Z,"officially debut at some point in the third quarter....According to the Taiwanese media , the company has scored a deal with Google to make a &#34;high end&#34; Nexus tablet.","Google","",3,0,0
BYzPnDPgCVR,Alliance,"Alliance between Google, HTC Corporation",2014-07-01T00:00:00.000Z,2014-09-30T23:59:59.000Z,month,1,2014-04-22T09:05:30.000Z,2014-04-22T09:05:30.000Z,"Google has reportedly partnered with HTC to bring a new design and style to the next gen Nexus tablet It looks like Google and Asus won t be partnering ... will be released in the third quarter of this year...","Google; HTC Corporation","",7,0.5806,0
